method,checkpoint,n_total_picks,hit_rate,base_rate,lift,n_total_top5,hit_rate_top5,lift_top5,lift_delta_vs_B0,lift_delta_vs_B1
S3_both_filter,11:30,1237,0.8078901049667179,0.3942493356529719,0.413640769313746,1081,0.8159274193548387,0.4216780837018668,0.005873975934459763,-0.05880216333845362
S3_both_rank,09:25,2480,0.730241935483871,0.3942493356529719,0.3359925998308991,1240,0.7370967741935485,0.34284743854057653,0.0,-0.024335957501280092
S3_both_rank,09:45,2480,0.7592741935483871,0.3942493356529719,0.3650248578954152,1240,0.8008064516129032,0.4065571159599313,0.0,-0.04069700460829495
S3_both_rank,10:00,2480,0.7685483870967742,0.3942493356529719,0.3742990514438023,1240,0.8145161290322581,0.42026679337928613,0.0,-0.045873335893497125
S3_both_rank,10:15,2480,0.7814516129032258,0.3942493356529719,0.3872022772502539,1240,0.8306451612903226,0.4363958256373507,0.0,-0.0492943548387097
S3_both_rank,10:30,2480,0.7842741935483871,0.3942493356529719,0.39002485789541524,1240,0.8362903225806452,0.44204098692767324,0.0,-0.05739727342549922
S3_both_rank,10:45,2480,0.7907258064516128,0.3942493356529719,0.396476470798641,1240,0.845967741935484,0.451718406282512,0.0,-0.05734286994367638
S3_both_rank,11:00,2480,0.7963709677419355,0.3942493356529719,0.4021216320889636,1240,0.8524193548387097,0.4581700191857378,0.0,-0.058531746031746046
S3_both_rank,11:15,2480,0.7995967741935485,0.3942493356529719,0.40534743854057653,1240,0.8516129032258064,0.45736356757283453,0.0,-0.06316244239631336
S3_both_rank,11:30,2480,0.802016129032258,0.3942493356529719,0.40776679337928623,1240,0.8612903225806451,0.46704098692767326,0.0,-0.06467613927291338
S4_filterA_marketRS,09:25,2122,0.754577892985151,0.3942493356529719,0.36032855733217917,1239,0.7409274193548387,0.34667808370186687,0.024335957501280092,0.0
S4_filterA_marketRS,09:45,1931,0.799971198156682,0.3942493356529719,0.4057218625037102,1236,0.8074596774193549,0.41321034176638294,0.04069700460829495,0.0
S4_filterA_marketRS,10:00,1859,0.8144217229902714,0.3942493356529719,0.42017238733729945,1231,0.8206317204301076,0.42638238477713564,0.045873335893497125,0.0
S4_filterA_marketRS,10:15,1832,0.8307459677419355,0.3942493356529719,0.4364966320889636,1230,0.8422043010752689,0.4479549654222969,0.0492943548387097,0.0
S4_filterA_marketRS,10:30,1783,0.8416714669738863,0.3942493356529719,0.44742213132091446,1224,0.8538306451612904,0.4595813095083184,0.05739727342549922,0.0
S4_filterA_marketRS,10:45,1763,0.8480686763952893,0.3942493356529719,0.4538193407423174,1226,0.8520833333333333,0.4578339976803615,0.05734286994367638,0.0
S4_filterA_marketRS,11:00,1727,0.8549027137736815,0.3942493356529719,0.46065337812070967,1222,0.864247311827957,0.4699979761749851,0.058531746031746046,0.0
S4_filterA_marketRS,11:15,1688,0.8627592165898618,0.3942493356529719,0.4685098809368899,1215,0.8708333333333333,0.4765839976803614,0.06316244239631336,0.0
S4_filterA_marketRS,11:30,1674,0.8666922683051715,0.3942493356529719,0.4724429326521996,1211,0.8756720430107526,0.4814227073577808,0.06467613927291338,0.0
S4_filterA_sectorRS,09:25,1553,0.7323860727086533,0.3942493356529719,0.3381367370556814,1178,0.7108198924731183,0.3165705568201464,0.00214413722478235,-0.022191820276497742
S4_filterA_sectorRS,09:45,1395,0.7845062083973374,0.3942493356529719,0.3902568727443655,1136,0.7846102150537635,0.39036087940079156,0.025232014848950268,-0.015464989759344683
S4_filterA_sectorRS,10:00,1348,0.7966509856630825,0.3942493356529719,0.4024016500101105,1119,0.7948924731182795,0.40064313746530766,0.0281025985663082,-0.017770737327188924
S4_filterA_sectorRS,10:15,1332,0.8094262032770098,0.3942493356529719,0.4151768676240378,1113,0.8116935483870968,0.4174442127341249,0.027974590373783914,-0.021319764464925783
S4_filterA_sectorRS,10:30,1304,0.8254464285714286,0.3942493356529719,0.43119709291845665,1110,0.8280241935483871,0.4337748578954152,0.041172235023041404,-0.016225038402457814
